13:40:876 | DEBUG | graph:_add_nodes:109 | Added 15 nodes to graph
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: WS2_1 -> Wheel2_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: WS1_1 -> Wheel1_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: WS4_1 -> Wheel4_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: WS3_1 -> Wheel3_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: Chasis_1 -> WS2_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: Chasis_1 -> WS1_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: Chasis_1 -> WS4_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: Chasis_1 -> WS3_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: Chasis_1 -> X_arm_6_v1_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: X_arm_6_v1_1 -> X_arm_6_v1_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: X_arm_6_v1_1 -> gripper_v14recovered_1_Component6_1
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: gripper_v14recovered_1_screw_nut_8mm_v1_2 -> gripper_v14recovered_1_Component4_2
13:40:876 | DEBUG | graph:_add_edges:129 | Added edge: gripper_v14recovered_1_screw_nut_8mm_v1_1 -> gripper_v14recovered_1_Component4Mirror_2
13:40:876 | DEBUG | graph:_add_edges:133 | Added 13 edges to graph
13:40:877 | WARNING | graph:remove_disconnected_subgraphs:177 | Graph has one or more unconnected subgraphs
13:40:877 | INFO | graph:remove_disconnected_subgraphs:180 | Original graph structure:
13:40:877 | INFO | graph:_print_graph_tree:151 |   Root 1 (2 nodes):
13:40:877 | INFO | graph:_print_graph_tree:156 |     ├── gripper_v14recovered_1_Component4_2 -> 1 connections
13:40:877 | INFO | graph:_print_graph_tree:156 |     └── gripper_v14recovered_1_screw_nut_8mm_v1_2 -> 1 connections
13:40:877 | INFO | graph:_print_graph_tree:158 | 
13:40:877 | INFO | graph:_print_graph_tree:151 |   Root 2 (11 nodes):
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── WS4_1 -> 2 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── WS2_1 -> 2 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── X_arm_6_v1_1 -> 3 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── Chasis_1 -> 5 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── Wheel3_1 -> 1 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── WS3_1 -> 2 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── Wheel4_1 -> 1 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── Wheel1_1 -> 1 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── Wheel2_1 -> 1 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── WS1_1 -> 2 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     └── gripper_v14recovered_1_Component6_1 -> 1 connections
13:40:878 | INFO | graph:_print_graph_tree:158 | 
13:40:878 | INFO | graph:_print_graph_tree:151 |   Root 3 (2 nodes):
13:40:878 | INFO | graph:_print_graph_tree:156 |     ├── gripper_v14recovered_1_Component4Mirror_2 -> 1 connections
13:40:878 | INFO | graph:_print_graph_tree:156 |     └── gripper_v14recovered_1_screw_nut_8mm_v1_1 -> 1 connections
13:40:879 | INFO | graph:remove_disconnected_subgraphs:188 | Reduced graph structure:
13:40:879 | INFO | graph:_print_graph_tree:151 |   Root 1 (11 nodes):
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── WS4_1 -> 2 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── WS2_1 -> 2 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── X_arm_6_v1_1 -> 3 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── Chasis_1 -> 5 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── Wheel3_1 -> 1 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── WS3_1 -> 2 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── Wheel4_1 -> 1 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── Wheel1_1 -> 1 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── Wheel2_1 -> 1 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     ├── WS1_1 -> 2 connections
13:40:879 | INFO | graph:_print_graph_tree:156 |     └── gripper_v14recovered_1_Component6_1 -> 1 connections
13:40:879 | WARNING | graph:remove_disconnected_subgraphs:191 | Reduced graph nodes from 15 to 11
13:40:879 | WARNING | graph:remove_disconnected_subgraphs:192 | Reduced graph edges from 13 to 11
13:40:879 | WARNING | graph:_find_root_node:573 | No user-defined root part found (marked as fixed in Onshape), auto-detecting root
13:40:880 | DEBUG | graph:_find_root_node:580 | Auto-detected root node: Chasis_1
13:40:880 | INFO | graph:_build_graph:302 | KinematicGraph processed: 15 nodes, 13 edges with root node: Chasis_1
13:40:881 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: WS4_1
13:40:881 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: Wheel4_1
13:40:881 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: WS3_1
13:40:882 | DEBUG | connect:make_nonce:124 | nonce created: Mzq9DtdutDw3lvijSwMvxp7Ri
13:40:882 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: Wheel3_1
